小区名称,总价
芳清园,955万
六铺炕三区,1020万
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
韩庄子小区,400万
中景理想家,455万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
安宁里南区,435万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
三环新城8号院,583万
中海雅园,910万
青秀雅苑,455万
朝阳新城五区,428万
王致和腐乳厂宿舍,389万
三义东里,465万
龙腾苑四区,591万
育芳园,422万
丰益花园西区,470万
怡海花园富泽园,500万
龙腾苑二区,595万
芭蕾雨悦都北区,385万
佳运园二期,425万
新龙城,605万
康静里,289万
万龙社区,320万
恒富花园2号院,598万
庄维花园,730万
棕榈泉国际公寓,1260万
太阳公元,1980万
双龙南里,275万
万科城市花园,666万
天通苑本五区,626万
国美第一城3号院,608万
益明园,532万
玉海园三里,725万
远洋山水,370万
三环新城8号院,595万
佳和宜园,298万
上东上层,330万
兴华园,346万
西潞园一里,240万
金隅万科城,450万
绿岛苑东区,288万
万年花城二期,850万
古城南里,236万
光熙门北里,420万
门头沟月季园,268万
加华印象街,392万
新街坊,488万
马连道西里,706万
潘家园东里,598万
金惠园三里,456万
国美第一城3号院,638万
万年花城三期,939万
奥林匹克花园四期,559万
馨莲茗园,625万
万年花城三期,635万
希格玛公寓,1098万
鸿业兴园一区,570万
三环新城7号院,540万
三环新城8号院,600万
丰益花园东区,510万
华阳公寓,550万
东泽园,420万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
三环新城8号院,583万
中海雅园,910万
青秀雅苑,455万
朝阳新城五区,428万
三义东里,465万
龙腾苑四区,591万
育芳园,422万
丰益花园西区,470万
怡海花园富泽园,500万
龙腾苑二区,595万
芭蕾雨悦都北区,385万
佳运园二期,425万
新龙城,605万
康静里,289万
万龙社区,320万
六铺炕三区,1020万
庄维花园,730万
棕榈泉国际公寓,1260万
太阳公元,1980万
双龙南里,275万
万科城市花园,666万
天通苑本五区,626万
国美第一城3号院,608万
益明园,532万
玉海园三里,725万
远洋山水,370万
三环新城8号院,595万
佳和宜园,298万
上东上层,330万
兴华园,346万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
小区名称,总价
天通苑中苑,645万
新龙城,585万
国美第一城3号院,820万
大成郡,1135万
天通苑中苑,659万
郁花园二里,510万
美利山,450万
龙博苑三区,337万
上东上层,345万
松榆西里,485万
农光东里,437万
朝阳新城五区,430万
顺驰领海,930万
富锦嘉园二区,675万
加州水郡三期,430万
福臻家园,588万
柏林爱乐二期,480万
华业玫瑰郡,1200万
新城国际,1900万
珠江骏景北区,850万
龙博苑三区,385万
万年花城五期,615万
银领国际,720万
华鼎世家一期,1950万
六里屯东里,364万
新龙城,529万
丽水莲花,1030万
东泽园,418万
金鱼池东区,580万
泰利明苑,1030万
中海御鑫阁,265万
东泽园,315万
青秀雅苑,310万
三环新城8号院,350万
中海城香克林,935万
天龙华鹤,303万
朝阳旺角,598万
韦伯豪家园,1400万
鸿业兴园一区,593万
华鼎世家二期,1250万
保利百合,790万
碧水云天,1400万
义宾北区,245万
三环新城6号院,670万
红莲中里,550万
领秀慧谷C区,630万
奥林匹克花园三期,765万
庄维多摩市二期,430万
莲花池南里,403万
优士阁,385万
金隅嘉和园,328万
厂洼西街10号院,850万
北京北,472万
流星花园三区,735万
弘善家园,385万
兴隆家园,440万
西局欣园南区,840万
郁花园二里,510万
美利山,450万
韩庄子西里,310万
